Assists_Cross,Assists_Corner,Assists_Throughball,Assists_Freekick,Assists_Throwin,Assists_Other,Assists_Total,PassesLength_Total,PassesLength_AccLB,PassesLength_InAccLB,PassesLength_AccSP,PassesLength_InAccSP,PassesType_AccCr,PassesType_InAccCr,PassesType_AccCrn,PassesType_InAccCrn,PassesType_AccFrK,PassesType_InAccFrK,KeyPassesLength_Total,KeyPassesLength_Long,KeyPassesLength_Short,KeyPassesType_Cross,KeyPassesType_Corner,KeyPassesType_Throughball,KeyPassesType_Freekick,KeyPassesType_Throwin,KeyPassesType_Other,Rating
Caen_2019,0.2,0,0,0.1,0,0.2,0.4,361.7,34.2,34.8,242.2,50.5,3.5,13.5,1.3,2,8.7,4.2,5.8,1.4,4.4,1.9,0.5,0.1,0.4,0.1,3.6,6.59
Amiens_2019,0.2,0,0.1,0.1,0,0.3,0.6,382.7,25.7,34.6,264.6,57.7,3.3,12,1.4,2.2,9.1,4.3,7.5,1.1,6.4,1.6,0.6,0.3,0.6,0.1,5.3,6.57
Guingamp_2019,0.3,0.1,0.1,0.1,0,0.2,0.6,363.9,27.7,32.2,246,58,4.8,16.5,1.9,3.2,7.9,3.5,8,1.6,6.4,2.4,0.8,0.1,0.6,0.1,5.2,6.55
Paris Saint-Germain_2018,0.4,0.1,0.5,0,0,1.1,2,651.1,28.9,12.3,554.4,55.4,4.1,13.8,4,2.7,12.9,0.9,12.2,1.4,10.8,2.3,0.7,1.5,0.3,0,8.2,7.16
Lyon_2018,0.4,0.1,0.1,0,0,1.1,1.6,508.4,25,20.8,407.3,55.3,4.2,10.9,2.1,2.7,11.1,2.1,11.1,1.8,9.3,02.04,1.1,0.6,0.2,0,7.9,07.04
Marseille_2018,0.5,0,0.2,0.1,0,0.7,1.4,495,27.2,25.1,389.7,52.9,5.7,17.1,2.6,3.8,9.3,2.5,12.1,1.7,10.4,3.6,1,0.8,0.6,0.1,7.4,6.99
Monaco_2018,0.3,0.1,0.2,0.1,0,1,1.5,435.2,28.6,28.3,324.6,53.7,4.1,16,2.4,2.8,11,2.8,9.6,1.4,8.2,2.2,0.9,0.4,0.6,0,6.6,6.94
Montpellier_2018,0.1,0,0,0,0,0.6,0.7,411.2,33.8,29.7,292.7,54.9,5.3,17.1,2.3,2.6,10.4,3.3,9.9,1.7,8.2,2.7,1.1,0.2,0.5,0.1,6.6,6.78
Nice_2018,0.2,0.1,0.1,0,0,0.6,0.9,579.5,33.8,21.5,473.5,50.7,3.7,11.4,2.3,3,12.4,1.8,9.4,1.8,7.6,2,1.1,0.4,0.3,0,6.8,6.77
Bordeaux_2018,0.2,0.1,0.1,0,0,0.6,0.9,440.7,28.9,29.1,327.4,55.2,4.2,15.2,1.8,2.9,9.5,3.1,9.3,1.5,7.8,2.4,0.7,0.3,0.3,0.1,6.4,6.77
Rennes_2018,0.3,0,0.1,0.1,0,0.5,0.8,423.8,29.1,33.3,307.6,53.9,4.5,15.7,2.5,3.2,9.8,3.6,8.8,1.8,7.1,2.7,1.2,0.2,0.7,0,5.6,6.75
Saint-Etienne_2018,0.1,0,0.1,0,0,0.6,0.8,453.7,30.8,30.3,336.1,56.6,3.6,13.7,2.4,2.4,9.7,2.7,8.4,1.6,6.8,2,0.8,0.5,0.4,0,5.7,6.74
Nantes_2018,0.2,0.1,0,0,0,0.4,0.6,375.8,26.6,35.1,255.5,58.6,5.6,15.2,2,2.6,6,3.6,9.3,1.7,7.6,3,1,0.2,0.4,0.1,5.8,6.72
Guingamp_2018,0.3,0.1,0.1,0,0,0.3,0.7,423.4,32,30.5,305.1,55.9,4.1,15,2.1,2.9,10.4,3.4,8.3,1.6,6.8,2.3,0.9,0.3,0.4,0.1,5.4,6.72
Dijon_2018,0.2,0.1,0.2,0.1,0,0.5,0.9,411,34.5,34.7,286.6,55.2,3.7,11.3,2,2,9.7,3.5,8.4,1.8,6.6,2.2,0.5,0.5,0.4,0.2,5.3,6.71
Amiens_2018,0.1,0,0.1,0,0,0.4,0.6,369.1,26.3,38.7,245.4,58.8,3.2,12.4,1.7,2,8.4,4.4,7,1.4,5.6,1.9,0.6,0.3,0.4,0.1,4.4,6.71
Toulouse_2018,0.3,0,0,0,0,0.3,0.6,362.1,29.4,34.3,239.6,58.7,5,16.6,1.7,2.9,9.8,5.2,8,1.6,6.4,2.7,0.8,0.2,0.5,0.1,4.7,6.68
Lille_2018,0.3,0.1,0.1,0,0,0.4,0.8,482.7,26.8,26.2,373.7,56.1,3.7,12.5,2.1,2.4,9.9,2.1,9,1.3,7.7,1.8,0.7,0.4,0.4,0.1,6.6,6.66
Caen_2018,0.3,0.1,0.1,0,0,0.2,0.5,372.3,35.1,34.1,244.2,58.9,5.4,20.2,2.1,3.3,6.7,4.3,8.8,2.3,6.5,3.3,1.2,0.3,0.5,0.1,5.1,6.65
Strasbourg_2018,0.3,0.1,0,0,0,0.3,0.7,395.6,34,35.5,273.5,52.6,4.7,15.7,1.6,3.2,7.9,3.3,8.3,1.7,6.7,2.6,0.8,0.2,0.6,0.2,5.2,6.65
Angers_2018,0.3,0.1,0.1,0.1,0,0.4,0.8,398.4,25.3,32.3,281.8,58.9,3.6,13.6,1.8,2.7,7.4,4.1,9.1,1.4,7.7,2.1,0.9,0.5,0.5,0.1,6.2,6.62
Metz_2018,0.3,0.1,0,0,0,0.4,0.7,397.2,39.9,37.2,265.1,55,4.8,13.4,2,2.6,8.3,4.2,8.7,1.8,6.9,2.9,1,0.2,0.3,0.1,5.4,6.59
Troyes_2018,0.2,0.1,0,0,0,0.3,0.6,381.3,29.7,35.3,258.1,58.2,3.8,14.3,2.1,2.2,7.7,4.6,7.1,1.3,5.8,2.1,0.7,0.3,0.2,0,4.7,6.59
